[[872, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[237, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[200, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[315, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[78, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[294, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[41, 0], [0, 0], [0, 0], [0, 0], [14006, 12398], [848, 1586], [0, 0], [351, -544], [-2307, -3144], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[20, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[393, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[554, 0], [0, 0], [0, 0], [0, 0], [-43956, -68932], [-1904, -7763], [0, 0], [-1746, 2728], [5729, 15856], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[135, 0], [0, 0], [0, 0], [0, 0], [-11958, -33102], [-156, -3442], [0, 0], [-783, 1230], [835, 7176], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[669, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[490, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[888, 0], [0, 0], [0, 0], [0, 0], [22710, -75594], [3789, -6301], [0, 0], [-1485, 2371], [-8563, 13992], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[469, 0], [0, 0], [0, 0], [0, 0], [-14408, -59664], [311, -5982], [0, 0], [-1368, 2154], [10, 12592], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[867, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[630, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[432, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[729, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[708, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[57, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[36, 0], [0, 0], [0, 0], [0, 0], [16566, -13482], [1713, -733], [0, 0], [-189, 313], [-4147, 1896], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[823, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[570, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[15, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[786, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[549, 0], [0, 0], [0, 0], [0, 0], [-55512, -54768], [-3219, -6810], [0, 0], [-1512, 2347], [8862, 13584], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[370, 0], [0, 0], [0, 0], [0, 0], [-50100, -6820], [-3980, -2195], [0, 0], [-450, 670], [10145, 3760], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[512, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[901, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[96, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[485, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[883, 0], [0, 0], [0, 0], [0, 0], [-2340, -79004], [1799, -7399], [0, 0], [-1710, 2706], [-3491, 15872], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[448, 0], [0, 0], [0, 0], [0, 0], [-56646, 8026], [-4897, -1022], [0, 0], [-171, 222], [12263, 1112], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[211, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[427, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[190, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[940, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[289, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[268, 1], [0, 0], [0, 0], [0, 0], [-807, 507], [-88, 21], [0, 0], [4, -35], [198, -71], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[31, 0], [0, 0], [0, 0], [0, 0], [-8484, -16892], [-277, -1831], [0, 0], [-414, 648], [925, 3776], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[565, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[130, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[528, 0], [0, 0], [0, 0], [0, 0], [-60742, 49434], [-6281, 2689], [0, 0], [693, -1149], [15207, -6952], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[365, 0], [0, 0], [0, 0], [0, 0], [-52660, 19060], [-4845, 125], [0, 0], [90, -187], [11985, -1280], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

[[763, 2], [0, 0], [0, 0], [0, 0], [980, -887], [96, -50], [0, 0], [7, -10], [-252, 124], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], 0, 0, 0, 0, 0, 0]

